round,team1,team2,sitting
1,CD,EF,AB
2,AB,FE,CD
3,BA,DC,EF
4,CF,ED,AB
5,AE,FB,CD
6,DA,BC,EF
7,CF,ED,AB
8,AE,FB,CD
9,DA,BC,EF
10,CE,DF,AB
11,AF,EB,CD
12,AC,BD,EF
13,CE,FD,AB
14,FA,EB,CD
15,AC,DB,EF
16,CD,EF,AB
17,FA,BE,CD
18,AC,DB,EF
19,CF,ED,AB
20,BA,FE,CD
21,AB,DC,EF
22,EC,DF,AB
23,FA,BE,CD
24,AD,CB,EF
25,EC,DF,AB
26,EA,BF,CD
27,AD,CB,EF
28,FC,DE,AB
29,EA,BF,CD
30,AB,CD,EF
31,FC,DE,AB
32,EA,BF,CD
33,AD,CB,EF
34,DC,FE,AB
35,BA,EF,CD
36,CA,BD,EF
37,FC,DE,AB
38,AF,EB,CD
39,CA,BD,EF
40,CE,FD,AB
41,AE,FB,CD
42,DA,BC,EF
43,EC,FD,AB
44,AF,BE,CD
45,CA,DB,EF
46,EC,FD,AB
47,AE,BF,CD
48,CA,DB,EF
49,FC,ED,AB
50,AF,BE,CD
